Price09,Price10,Price11
19.43,31.04,21.77
19.89,31.42,21.37
19.92,30.45,21.44
19.13,29.88,21.79
19.35,29.92,21.51
18.87,29.62,21.62
18.67,30.11,21.9
19.61,28.79,21.83
19.13,29.28,21.43
19.86,29.53,20.98
20.19,29.01,21.05
20.29,29.09,21.22
19.92,28.39,20.77
19.89,29.01,21.01
19.7,29.09,20.83
19.96,29.06,20.88
20.82,28.37,21.05
21.15,27.65,21.23
21.63,27.32,21.11
22.23,27.05,21.2
22.38,26.95,21.13
22.32,26.69,21.01
22.14,27.52,21.3
21.91,27.42,21.37
23.39,26.81,22.2
24.03,26.71,22.01
23.12,26.89,22.03
21.97,27.4,21.9
21.89,27.43,21.67
21.99,28.09,21.79
22.35,27.7,21.14
20.92,26.83,21.1
21.2,27.08,21.15
20.33,27.17,21.3
20.48,26.98,21.37
20.33,27.9,21.55
19.78,27.71,21.58
21.35,27.67,21.72
21.31,27.02,22.02
20.7,27.02,22.33
20.1,27.2,22.18
20.8,28.09,22.1
20.47,28.11,21.64
20.7,28.16,21.46
20.94,27.81,21.36
21.38,27.44,20.92
21.92,27.63,21.1
21.67,28.41,20.87
21.84,28.15,20.93
21.31,28.34,20.99
22.18,28.08,21.14
22.4,27.87,21.18
22.13,27.73,21.02
22.72,27.4,21.2
22.47,27.6,21.14
22.06,28.64,21.14
22.99,28.73,21.1
23.11,28.48,20.99
23.76,28.9,21.33
23.51,28.96,21.79
23.74,28.73,21.69
22.64,29,21.7
23.59,28.32,21.62
24.4,28.64,21.66
25.34,28.1,22.09
25.39,29.28,21.92
24.9,29.13,22.19
24.63,29.18,22.28
24.44,28.74,21.66
24.76,27.48,21.63
24.09,27.6,21.75
23.45,27.86,21.62
23.5,27.16,21.39
23.51,27.13,20.83
22.7,26.73,20.73
22.78,26.43,20.56
23.62,26.1,20.29
23.64,26.14,20.35
24.44,26.57,19.76
24.09,26.24,19.78
23.96,26.02,19.75
24.06,24.91,19.82
24.25,24.8,20.04
23.91,25.3,19.98
23.89,24.32,19.71
24.59,24.87,19.89
24.02,25.61,19.67
23.9,25.38,19.85
23.76,23.97,19.94
23.79,24.64,19.81
23.33,24.7,19.78
23.04,24,19.11
23.08,24.02,19.1
22.71,24.82,18.92
22.98,23.99,18.91
24.16,24.14,18.97
23.9,24.63,18.85
24.8,24.73,19.12
24.52,24.11,19.06
24.2,24.33,18.74
24.87,24.15,18.79
26.3,24.38,18.83
26.49,23.82,18.55
26.03,23.38,18.62
25.39,24.29,18.53
25.74,23.81,18.73
25.09,23.94,18.56
25.46,23.94,18.43
26.26,24,18.4
26.93,25.21,17.84
26.77,25.26,17.92
26.88,25.29,17.93
26.81,24.86,18.22
27.45,25.1,18.77
27.45,25.22,18.75
27.75,24.17,18.61
27.55,24.7,18.36
28.53,24.7,18.75
29.15,25.33,18.62
29.47,25.09,19.12
29.37,25.27,19.02
28.61,25.23,19.04
28.36,24.99,18.89
29.67,24.66,18.87
29.11,23.55,18.71
28.21,23.04,18.31
29.57,22.83,18.51
30.02,22.36,18.54
30.01,22.32,18.58
29.98,22.94,18.6
32.4,23.21,18.42
32.35,23.05,18.45
33.16,23.48,18.29
33.37,23.46,18.35
34.01,23.41,17.88
33.99,23.43,17.96
33.66,23.95,17.78
32.05,23.95,17.58
32.28,23.91,17.71
32.81,24.23,17.72
32.47,23.82,17.5
31.96,23.84,17.47
31.16,23.75,17.48
30.46,24.01,16.98
29.96,23.94,16.14
29.54,23.46,16.03
29.8,23.5,15.93
28.49,23.18,16.12
28.96,23.29,16.2
28.37,23.85,16.68
27.01,23.98,16.39
27.28,23.86,16.46
26.35,24.2,16.24
27.75,24.07,16.08
27.75,23.94,15.95
28.7,23.81,16.17
27.81,23.26,15.63
28.11,22.5,16.15
27.49,22.41,16.24
26.58,22.59,15.87
25.1,22.3,15.86
26.18,22.39,15.93
26.37,22.41,15.92
27.49,22.18,15.74
27.5,22.81,15.47
27.96,22.58,15.44
28.24,22.33,15.81
27.9,22.15,15.59
28.34,22.11,15.86
28.9,22.36,15.99
29.01,22.22,16.24
28.86,21.44,16.13
28.2,21.12,15.99
29.06,21.05,15.65
27.94,21.09,15.59
28.29,21.16,16.01
27.82,21.24,15.59
27.68,20.91,15.5
27.8,20.9,14.91
28.59,21.53,15.05
27.64,22.44,15
27.81,23.45,14.93
27.68,23.28,14.74
28.83,23.73,14.94
28.38,24.32,15.34
28.92,25.59,15.98
29.32,26.26,16.06
29.13,26.67,16.03
28.9,27.88,15.4
29.52,27.81,15.16
30.52,27.06,14.81
30.25,27.5,14.92
30.02,26.89,15.54
30.37,26.13,15.73
31.54,25.82,15.85
31.08,25.35,16.1
30.87,26.3,16.3
29.7,25.7,16.71
29.88,25.63,17.1
30.76,26.14,17.52
31.15,26.84,18.04
31.18,26.84,18.24
31.2,25.96,17.81
31.16,25.48,17.7
31.34,25.67,18.19
31.45,24.31,17.62
31.64,24.18,17.37
31.22,22.91,18.28
30.94,23.03,18.37
31.86,23.29,17.68
31.86,23.25,17.45
31.73,22.93,16.98
31.52,22.35,17.28
32,22.72,17.61
32.3,23.09,17.27
31.01,22.84,17.84
31.66,22.93,17.46
30.92,22.29,17.22
29.51,22.14,17.73
30.58,22.5,17.13
30.76,22.85,18.48
31.32,23.18,18.39
31.26,23.36,18.21
33.18,22.89,17.86
33.16,22.91,18.01
32.7,23.34,17.98
31.8,23.54,17.9
31.74,23.33,18.02
31.93,22.99,17.96
32.21,22.75,18.23
31.16,22.64,16.61
30.95,22.16,16.84
30.24,22.71,16.31
29.47,22.31,16.56
29.6,22.31,16.75
29.1,22.25,16.57
29.46,21.98,17.1
30.03,21.6,17.04
29.83,21.4,17.17
30.51,21.04,17.24
30.49,21.3,17.2
31.59,,17.64
31.69,,
