bank	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11
1	0.73681	-0.9572	-0.1198	0.1681	0.00009	0.00155	0.02615	4.28632	0.30796	-0.3856	-0.935
2	0.80593	-0.9598	-0.1048	0.15943	0.00409	0.00821	0.032	3.47315	0.1747	-0.1704	0.09039
3	0.77452	-0.9661	-0.0945	0.55491	0.00121	0.00357	0.0342	3.70835	0.29544	-0.2925	0.59191
4	0.88289	-0.965	-0.0445	0.66788	0.00377	0.00581	0.03663	3.76342	0.3623	-0.4177	0.13597
5	0.74881	-0.9732	-0.0149	1.28349	0.0046	0.00524	0.04358	4.01233	0.66856	-0.6909	0.59518
6	0.83293	-0.9806	-0.2048	0.10853	0.00152	0.00265	0.03285	3.63239	0.39483	-0.4232	0.30921
7	0.90881	-0.9794	-0.1209	0.39992	0.00176	0.01159	0.03001	2.90499	0.10981	-0.1988	0.01277
8	0.7612	-0.9637	-0.038	0.97392	0.00509	0.01178	0.03292	2.82042	0.41979	-0.3698	0.28604
9	1.30219	-0.973	-0.0288	0.58526	0.00586	0.0065	0.03455	4.4657	0.45461	-0.4068	0.62208
10	1.15305	-0.9676	-0.0211	1.34564	0.00148	0.01536	0.03884	3.57096	0.47461	-0.4781	0.1282
