X1	X2	X3	X4
-0.45	-0.41	1.09	0.45
-0.56	-0.31	1.51	0.16
0.06	0.02	1.01	0.4
-0.07	-0.09	1.45	0.26
-0.1	-0.09	1.56	0.67
-0.14	-0.07	0.71	0.28
-0.23	-0.3	0.22	0.18
0.07	0.02	1.31	0.25
0.01	0	2.15	0.7
-0.28	-0.23	1.19	0.66
0.15	0.05	1.88	0.27
0.37	0.11	1.99	0.38
-0.08	-0.08	1.51	0.42
0.05	0.03	1.68	0.95
0.01	0	1.26	0.6
0.12	0.11	1.14	0.17
-0.28	-0.27	1.27	0.51
0.51	0.1	2.49	0.54
0.08	0.02	2.01	0.53
0.38	0.11	3.27	0.55
0.19	0.05	2.25	0.33
0.32	0.07	4.24	0.63
0.31	0.05	4.45	0.69
0.12	0.05	2.52	0.69
-0.02	0.02	2.05	0.35
0.22	0.08	2.35	0.4
0.17	0.07	1.8	0.52
0.15	0.05	2.17	0.55
-0.1	-1.01	2.5	0.58
0.14	-0.03	0.46	0.26
0.14	0.07	2.61	0.52
-0.33	-0.09	3.01	0.47
0.48	0.09	1.24	0.18
0.56	0.11	4.29	0.45
0.2	0.08	1.99	0.3
0.47	0.14	2.92	0.45
0.17	0.04	2.45	0.14
0.58	0.04	5.06	0.13
