dist	X1	X2	X3	X4	X5	X6	X7	X8	X9
北京	134.05	92.78	9.15	14.6	2.17	10.13	4.25	2.92	14.42
天津	150.2	69.99	10	11.07	0.84	10.8	8.35	0.72	10.14
河北	216.72	55.97	6.59	7.1	0.54	6.36	2.25	0.65	7.29
山西	218.91	80.87	5.72	5.36	0.24	6.15	0.47	1.15	2.59
内蒙	207.3	70.77	2.79	21.18	1.41	3.82	1.45	1.34	10.77
辽宁	194.39	178.59	5.9	16.45	2.51	9.59	4.49	0.73	10.8
吉林	255.99	115.2	6.27	11.42	3.23	8.64	3.6	0.75	13.64
黑龙江	195.08	111.7	7.62	7.85	2.61	6.26	3.35	0.9	15.09
上海	189.44	76.6	8.59	16.37	7.4	7.51	16.11	2.12	16.77
江苏	251.98	109.12	8.27	12.05	4.5	6.72	9.09	1.3	8.82
浙江	208.46	83.91	5.81	16.42	6.03	5.33	14.64	2.13	24.15
安徽	228.35	80.97	6.87	9.07	4.27	5.04	5.43	1.42	10.61
福建	198.27	99.92	5.19	16.51	5.14	3.55	13.3	2.35	16.84
江西	264.8	144.22	8.77	13.24	3.31	3.5	5.19	1.13	7.31
山东	229.06	118.19	6.96	8.09	2.7	11.61	4.01	1	10.81
河南	236.97	100.11	4.22	6.48	1.23	8.01	1.35	1.13	4.23
湖南	227.39	159.76	9.4	19.86	2.74	3.86	8.1	0.92	7.29
湖北	247.21	149.44	8.35	17.51	3.89	3.28	6.89	1.13	4.02
广东	233.75	130.22	6.73	22.27	10.4	2.83	13.3	2.16	3.33
广西	205.65	108.94	4.92	14.44	7.33	1.12	3.57	1.18	6.14
海南	236.31	86.61	5.7	15.4	9.77	1.31	14.75	1.24	3.88
