year	X1	X2	X3	X4	Y1	Y2	Y3	Y4
1995	79.55	5562.7	362.9	4070.6	12135.8	24950.6	3728.8	19978.5
1996	78.68	7096.6	685.3	5494.7	14015.4	29447.6	4387.4	23326.2
1997	68.55	6878.9	1323.3	7031.0	14441.9	32921.4	4621.6	26988.1
1998	65.51	7331.8	2386.3	8742.1	14817.6	34018.4	4985.8	30580.5
1999	60.52	9091.3	4329.6	10871.6	14770.0	35861.5	5172.1	33873.4
2000	77.71	11031.4	8453.3	14482.9	14944.7	40033.6	5522.3	38714.0
2001	86.93	12652.7	14522.2	18036.8	15781.3	43580.6	5931.7	44361.6
2002	106.01	14036.2	20600.5	21422.2	16537.0	47431.3	6465.5	49898.9
2003	103.84	17237.8	26995.3	26274.7	17381.7	54945.5	7490.8	56004.7
2004	82.81	19771.9	33482.4	31175.6	21412.7	65210.0	8694.3	64561.3
2005	73.51	22880.3	39340.6	35044.5	22420.0	77230.8	10133.8	73432.9
2006	71.31	26988.0	46105.8	36778.6	24040.0	91310.9	11851.1	84721.4
2007	69.50	120190	54730.6	36563.7	28095.0	107367	14014.1	100053.5
