city	price	GDP	salary	revenue	CPI
Shanghai	24070	87325	5800	3349	103.6
Hangzhou	18600	89697	5300	2975.333333	102
Beijing	21080	90764	5600	3039.083333	102.1
Shenzhen	19720	125026	6200	3395.166667	104.6
Guangzhou	12440	106293	5200	3171.166667	104.5
Ningbo	16860	85787	3609	3170.25	103.8
Suzhou	10500	114834	4650	3127.583333	101.7
Tianjin	10260	99590	3400	2468.833333	105.4
Qingdao	9880	83787	4380	2678.75	103.4
Xiamen	14650	79779	4500	3131.333333	105.7
Dalian	11550	104628	5260	2290	102.4
Wuhan	8400	81794	2950	1978.166667	103.8
Nanjing	16400	89967	3990	3026.833333	102.3
Jinan	8730	70629	3360	2714.166667	104.5
Quanzhou	7650	58165	2100	2690.916667	106
Chongqing	6300	39083	2430	1914	101.1
Wuxi	8650	118705	3580	2895	105.7
Yangzhou	6730	65771	2300	2333.416667	106
Yantai	5900	75773	2500	2211.833333	105.7
Shenyang	7220	82654	2290	2202.5	101.8
Xian	6760	51600	2300	2498.5	104.3
Haikou	7860	50531	2900	1706	104
Haerbin	7050	43128	1980	1669.333333	103.9
郑州	6810	62628	3000	1873.083333	107.5
长沙	6430	90258	2900	2263.583333	104.9
石家庄	7180	43777	2560	1711.166667	104.9
