Year	y	x1	x2	x3	x4	x5	x6
1990	2937.10 	5062.00 	7717.40 	5888.42 	114333	8300.10 	38474.00 
1991	3149.48 	5342.20 	9102.20 	7337.10 	115823	9415.60 	55472.00 
1992	3483.37 	5866.60 	11699.50 	9357.38 	117171	10993.70 	51332.00 
1993	4348.95 	6963.76 	16454.43 	11915.73 	118517	14270.40 	48827.00 
1994	5218.10 	9572.69 	22445.40 	16179.76 	119850	18622.90 	55046.00 
1995	6242.20 	12135.81 	28679.46 	19978.46 	121121	23613.80 	45825.00 
1996	7407.99 	14015.39 	33834.96 	23326.24 	122389	28360.20 	46991.00 
1997	8651.14 	14441.89 	37543.00 	26988.15 	123626	31252.90 	53427.00 
1998	9875.95 	14817.63 	39004.19 	30580.47 	124761	33378.10 	50145.00 
1999	11444.08 	14770.03 	41033.58 	33873.44 	125786	35647.90 	49979.50 
2000	13395.23 	14944.72 	45555.88 	38713.95 	126743	39105.70 	54688.00 
2001	16386.04 	15781.27 	49512.29 	44361.61 	127627	43055.40 	52214.60 
2002	18903.64 	16537.02 	53896.77 	49898.90 	128453	48135.90 	46946.10 
2003	21715.25 	17381.72 	62436.31 	56004.73 	129227	52516.30 	54505.80 
2004	26396.47 	21412.73 	73904.31 	64561.29 	129988	59501.00 	37106.26 
2005	31649.29 	22420.00 	87598.09 	74919.28 	130756	67176.60 	38818.23 
2006	38760.20 	24040.00 	103719.54 	88554.88 	131448	76410.00 	41091.41 
2007	51321.78 	28627.00 	125831.36 	111351.95 	132129	89210.00 	48992.35 
2008	61330.35 	33702.00 	149003.44 	131339.99 	132802	114830.10 	39990.03 
2009	68518.30 	35226.00 	157638.78 	147642.09 	133474	132678.40 	47213.69 
