股票名称        A1      A2      A3      A4      A5      A6      A7  
大钢不锈	452.23	178.65	759.48	5.463	8.43	210.12	2.2008
安阳钢铁	159.27	49.33	721.72	3.38	2.94	41.78	0.387
鲁银投资	15.67	8.44	649.82	1.47	2.13	36.15	0.144
南钢股份	100.09	50.77	614	4.03	6.24	63.67	1.2055
武钢股份	490.85	124.1	604.6	2.99	6.026	49.03	0.7368
菜钢股份	159.96	69.38	549.15	6.21	3.86	21.54	1.477
柳钢股份	102.64	46.78	456.77	6.095	4.97	45.11	1.4646
凌钢股份	34.92	16.01	331.54	5.27	3.15	12.9	0.8365
华凌股份	389.38	92.63	330.87	4.71	2.64	31.52	1.8373
济南钢铁	160.11	76.93	325.84	4.25	6.18	37.9	1.4288
唐钢股份	291.07	95.69	313.61	4.3	4.77	54.34	1.4273
杭钢股份	91	32	308.82	5.18	2.09	17.98	1.1401
安泰股份	37.53	7.92	250.86	3.28	2.73	44.13	0.8879
承德钒钛	108.6	30.23	221.52	3.31	1.79	58.59	1.162
韶钢松山	128.36	32.16	213.71	4.07	1.76	9.79	1.0413
本钢板材	259.5	77.03	207.04	5.2323	1.92	89.47	2.7758
八一钢铁	92.24	26.68	185.25	4.19	1.6	71.53	1.4495
宝钢股份	1778.4	429.75	156.38	4.85	4.32	28.66	1.8749
鹏博士	        5.93	1.6	153.05	1.471	0.93	9.57	0.329
广钢股份	44.14	12.87	145.41	2.13	0.92	43.53	0.8744
