Year,Age,Female_Exp,Male_Exp,q_female,q_male,Female_death,Male_death,L_female_exp,L_male_exp
1951,0,53684.67,57059.14,0.018497,0.024273,993.005341,1384.996505,10.89088277,10.95184355
1951,1,56056.2,59379.55,0.001944,0.002021,108.9732528,120.0060706,10.93411004,10.99170517
1951,2,59026.83,61855.13,0.001186,0.001455,70.00582038,89.99921415,10.98574737,11.03255032
1951,3,60794.23,63620.28,0.000888,0.000959,53.98527624,61.01184852,11.01525016,11.06068757
1951,4,61980.55,65167.32,0.000484,0.001013,29.9985862,66.01449516,11.03457591,11.0847134
1951,5,63026.37,66518.15,0.000413,0.000917,26.02989081,60.99714355,11.05130849,11.10523012
1951,6,63184,66729.22,0.000554,0.001004,35.003936,66.99613688,11.05380638,11.10839822
1951,7,61418.28,64358.57,0.000456,0.000528,28.00673568,33.98132496,11.02546279,11.07222538
1951,8,57129.63,59604.45,0.000455,0.000705,25.99398165,42.02113725,10.95307818,10.99548552
1951,9,51149.93,53311.38,0.000254,0.000581,12.99208222,30.97391178,10.8425164,10.8839051
1951,10,46759.38,48584.62,0.00047,0.000617,21.9769086,29.97671054,10.75277016,10.7910623
1951,11,46156.25,47851.6,0.000303,0.000418,13.98534375,20.0019688,10.73978766,10.77585983
1951,12,45717.53,47243.93,0.000394,0.000487,18.01270682,23.00779391,10.73023709,10.76307946
1951,13,43722.18,45358.78,0.00048,0.000573,20.9866464,25.99058094,10.6856108,10.72235904
1951,14,42462.1,43929.77,0.000353,0.000478,14.9891213,20.99843006,10.65636719,10.6903475
1951,15,41200.07,42794.2,0.000534,0.000724,22.00083738,30.9830008,10.62619523,10.66415786
1951,16,40072.12,41729.57,0.000399,0.001054,15.98877588,43.98296678,10.59843611,10.63896527
1951,17,40054.92,41299.93,0.000624,0.001162,24.99427008,47.99051866,10.59800679,10.62861608
1951,18,41306.58,42146.97,0.000726,0.001115,29.98857708,46.99387155,10.62877709,10.64891808
1951,19,42811.02,43335.32,0.000747,0.001131,31.97983194,49.01224692,10.66455083,10.67672329
1951,20,43888.92,44083.57,0.001003,0.001701,44.02058676,74.98615257,10.68941718,10.69384243
1951,21,44396.12,44484.45,0.000788,0.001214,34.98414256,54.0041223,10.70090736,10.70289497
1951,22,45271.97,45517.97,0.000574,0.001516,25.98611078,69.00524252,10.72044336,10.72586247
1951,23,46301.9,46629.87,0.000864,0.001244,40.0048416,58.00755828,10.74293828,10.7499966
1951,24,47060.12,47489.18,0.000829,0.00139,39.01283948,66.0099602,10.75918121,10.76825718
1951,25,48882.93,49515.9,0.000757,0.001252,37.00437801,61.9939068,10.79718354,10.81004911
1951,26,50353.88,51232.97,0.000755,0.001464,38.0171794,75.00506808,10.82683096,10.84413855
1951,27,51605.33,52698.57,0.000833,0.001518,42.98723989,79.99642926,10.85138024,10.8723436
1951,28,52863.1,53940.95,0.001078,0.001279,56.9864218,68.99047505,10.87546083,10.89564521
1951,29,55573.03,56577.07,0.000972,0.001273,54.01698516,72.02261011,10.92545329,10.94335906
1951,30,59714.92,60976.72,0.001155,0.001525,68.9707326,92.989498,10.99733718,11.01824743
1951,31,56292.15,57686.52,0.001101,0.00156,61.97765715,89.9909712,10.93831037,10.9627788
1951,32,51129.05,52310.58,0.000958,0.001835,48.9816299,95.9899143,10.84210811,10.86495392
1951,33,51861.9,52846.82,0.001234,0.001589,63.9975846,83.97359698,10.8563397,10.87515282
1951,34,52065.97,53271.05,0.001633,0.001671,85.02372901,89.01592455,10.86026685,10.88314831
1951,35,51883.65,53000.85,0.001619,0.001868,83.99962935,99.0055878,10.85675899,10.87806323
1951,36,53040.38,53918.05,0.001433,0.001799,76.00686454,96.99857195,10.87880879,10.89522058
1951,37,54102.35,55284.98,0.001497,0.001827,80.99121795,101.0056585,10.8986329,10.92025654
1951,38,54512.78,55942.33,0.001614,0.002181,87.98362692,122.0102217,10.90619045,10.93207662
1951,39,54441.12,55911.2,0.001837,0.001878,100.0083374,105.0012336,10.90487503,10.93152
1951,40,53909.68,55574.48,0.001818,0.002069,98.00779824,114.9835991,10.89506533,10.92547938
1951,41,54647.95,55950.83,0.002104,0.002949,114.9792868,164.9989977,10.90866698,10.93222855
1951,42,54704.13,55404.47,0.002084,0.002798,114.0034069,155.0217071,10.90969449,10.92241556
1951,43,53443.68,53779.5,0.002245,0.003273,119.9810616,176.0203035,10.88638367,10.89264763
1951,44,52388.57,52523.32,0.002711,0.003446,142.0254133,180.9953607,10.86644372,10.86901254
1951,45,51431.4,50936.37,0.003441,0.004103,176.9754474,208.9919261,10.84800416,10.83833249
1951,46,50328.75,49547.28,0.003437,0.004158,172.9799138,206.0175902,10.82633176,10.81068264
1951,47,49116.18,48405.63,0.003868,0.004917,189.9813842,238.0104827,10.80194379,10.78737141
1951,48,48743.57,47669.72,0.004062,0.004804,197.9963813,229.0053349,10.79432857,10.77205167
1951,49,48426.9,47372.02,0.004336,0.005594,209.9790384,264.9990799,10.78781072,10.76578704
1951,50,47579.3,46268.82,0.004393,0.00616,209.0158649,285.0159312,10.77015307,10.74222358
1951,51,45775.4,44123.08,0.005483,0.006595,250.9865182,290.9917126,10.73150211,10.69473828
1951,52,44377,42678.88,0.005904,0.006654,262.001808,283.9852675,10.7004766,10.66145946
1951,53,43661.68,42009.2,0.00623,0.008641,272.0122664,363.0014972,10.68422611,10.64564392
1951,54,42597.27,40916.7,0.006573,0.008114,279.9918557,331.9981038,10.65954545,10.61929357
1951,55,42020.55,39929.55,0.006806,0.009366,285.9918633,373.9801653,10.64591406,10.59487193
1951,56,40910.97,38324.08,0.008824,0.010985,360.9983993,420.9900188,10.61915352,10.5538337
