Trddt,Clsprc
2007/1/9,38.93
2007/1/10,39.46
2007/1/11,38.29
2007/1/12,39.5
2007/1/15,43.45
2007/1/16,45.05
2007/1/17,45
2007/1/18,43.47
2007/1/19,44.57
2007/1/22,46.86
2007/1/23,44.03
2007/1/24,43.9
2007/1/25,40.84
2007/1/26,40.26
2007/1/29,40.75
2007/1/30,39.97
2007/1/31,38.21
2007/2/1,38.8
2007/2/2,35.99
2007/2/5,33.77
2007/2/6,34.54
2007/2/7,34.85
2007/2/8,34.7
2007/2/9,36.1
2007/2/12,36.2
2007/2/13,35.72
2007/2/14,36.41
2007/2/15,37.99
2007/2/16,37.82
2007/2/26,37.25
2007/2/27,33.89
2007/2/28,35.87
2007/3/1,34
2007/3/2,33.8
2007/3/5,32.28
2007/3/6,32.94
2007/3/7,33.16
2007/3/8,33.2
2007/3/9,33.07
2007/3/12,32.8
2007/3/13,33
2007/3/14,32.04
2007/3/15,32.48
2007/3/16,33.81
2007/3/19,35.29
2007/3/20,34.86
2007/3/21,34.61
2007/3/22,34.35
2007/3/23,34
2007/3/26,34.46
2007/3/27,34.23
2007/3/28,35.14
2007/3/29,35.79
2007/3/30,35.23
2007/4/2,35.55
2007/4/3,35.85
2007/4/4,35.26
2007/4/5,35.08
2007/4/6,35.21
2007/4/9,37
2007/4/10,36.44
2007/4/11,37.48
2007/4/12,37.5
2007/4/13,37.69
2007/4/16,38.31
2007/4/17,37.9
2007/4/18,36.58
2007/4/19,35.46
2007/4/20,36.89
2007/4/24,37.62
2007/4/25,38.16
2007/4/26,39.2
2007/4/27,40.78
2007/4/30,41.65
2007/5/8,41.19
2007/5/9,40.89
2007/5/10,40.29
2007/5/11,39.22
2007/5/14,39.3
2007/5/15,38.02
2007/5/16,38.94
2007/5/17,39.09
2007/5/18,39.02
2007/5/21,39.2
2007/5/22,39.44
2007/5/23,39.65
2007/5/24,38.98
2007/5/25,39.03
2007/5/28,40.2
2007/5/29,39.98
2007/5/30,36.35
2007/5/31,37
2007/6/1,37.08
2007/6/4,33.96
2007/6/5,34.86
2007/6/6,34.3
2007/6/7,35.95
2007/6/8,35.74
2007/6/11,36.82
2007/6/13,37.62
2007/6/14,37.64
2007/6/15,37.46
2007/6/18,40.82
2007/6/19,40.06
2007/6/20,40.11
2007/6/21,43.42
2007/6/22,43.44
2007/6/25,44.53
2007/6/26,43.41
2007/6/27,44.91
2007/6/28,42.83
2007/6/29,41.11
2007/7/2,41.25
2007/7/3,42.02
2007/7/4,40.82
2007/7/5,39.28
2007/7/6,41.88
2007/7/9,44.12
2007/7/10,44.38
2007/7/11,44.18
2007/7/12,46.17
2007/7/13,46.53
2007/7/16,46.86
2007/7/17,46.98
2007/7/18,49.2
2007/7/19,47.45
2007/7/20,49.37
2007/7/23,48.98
2007/7/24,48.02
2007/7/25,48.42
2007/7/26,47.71
2007/7/27,47
2007/7/30,48.51
2007/7/31,48.22
2007/8/1,47.13
2007/8/2,47.7
2007/8/3,50.98
2007/8/6,50.37
2007/8/7,48.96
2007/8/8,48
2007/8/9,49
2007/8/10,48.02
2007/8/13,49.95
2007/8/14,51.49
2007/8/15,51.05
2007/8/16,48.77
2007/8/17,47.34
2007/8/20,48.87
2007/8/21,49.1
2007/8/22,49.03
2007/8/23,49.04
2007/8/24,49.99
2007/8/27,50.99
2007/8/28,56.09
2007/8/29,56.33
2007/8/30,56.01
2007/8/31,56.32
2007/9/3,56.08
2007/9/4,54.04
2007/9/5,54
2007/9/6,55.41
2007/9/7,53.91
